2	14007
2	90299
2	540748
2	63483
2	20166
2	227654
2	404281
2	48214
2	26
2	2350
2	4859
2	30817
2	6923
2	1314814
2	46854
14007	20075
14007	20574
14007	20144
14007	20206
14007	967
14007	20454
14007	20509
14007	20634
14007	20674
14007	20148
14007	20329
14007	20513
14007	20083
14007	20578
14007	20636
14007	974
14007	20331
14007	20515
14007	20085
14007	20579
14007	18582
14007	20151
14007	977
14007	20458
14007	20152
14007	20278
14007	20461
14007	25663
14007	18759
14007	980
14007	20279
14007	20337
14007	20400
14007	20463
14007	20521
14007	20091
14007	18855
14007	20684
14007	20157
14007	20222
14007	983
14007	20281
14007	20402
14007	20464
14007	20094
14007	20584
14007	20159
14007	20223
14007	20282
90299	20574
90299	967
90299	20083
90299	18582
90299	20087
90299	20581
90299	20335
90299	20089
90299	20155
90299	20281
90299	20165
90299	20468
90299	20528
90299	20589
90299	20064
90299	20254
90299	20493
90299	20099
90299	20167
90299	20411
90299	20170
90299	20539
90299	20108
90299	20419
90299	20615
90299	20375
90299	20120
90299	20066
90299	20444
90299	20133
90299	20501
90299	20135
90299	20202
90299	20448
90299	2175
90299	20452
90299	78432
90299	779
90299	53328
90299	47707
90299	132265
540748	540756
540748	540755
540748	540754
540748	49952
540748	540747
540748	540745
540748	540729
540748	3676101
540748	27311
540748	3647
63483	20075
63483	20574
63483	20144
63483	20206
63483	20390
63483	20454
63483	20576
63483	20148
63483	20208
63483	20455
63483	20083
63483	20636
63483	20676
63483	974
63483	20274
63483	20395
63483	20456
63483	20515
63483	20085
63483	18582
63483	20212
63483	20276
63483	20333
63483	20087
63483	20152
63483	20214
63483	978
63483	20335
63483	20089
63483	18759
63483	20155
63483	980
63483	20091
63483	18855
63483	20157
63483	20222
63483	20281
63483	20339
63483	20094
63483	18898
63483	20159
63483	20223
63483	263688
63483	204718
63483	204711
63483	204710
63483	263685
63483	263680
63483	263665
63483	187811
20166	20144
20166	20148
20166	529944
20166	20149
20166	20151
20166	530450
20166	20152
20166	529193
20166	20155
20166	529243
20166	529335
20166	20157
20166	528401
20166	528908
20166	20159
20166	250297
20166	392136
20166	392166
20166	392187
20166	392219
20166	392224
20166	392228
20166	263711
20166	263703
20166	208928
20166	187432
20166	187153
20166	20165
20166	107887
20166	107890
20166	107895
20166	107899
20166	107919
20166	107926
20166	107093
20166	9997
20166	14007
20166	107930
20166	107931
20166	107933
20166	107935
20166	107936
20166	107937
20166	824
20166	107939
20166	107940
20166	107943
20166	93288
20166	107945
20166	90299
227654	223181
227654	2024152
227654	119336
227654	36208
227654	10000
227654	36430
404281	20521
404281	99356
404281	405431
404281	405163
404281	403032
404281	403372
404281	403555
404281	403027
404281	405504
404281	403556
404281	321751
404281	402364
404281	404273
404281	99434
404281	402379
404281	401253
404281	405858
404281	404694
404281	405867
404281	404972
404281	48214
404281	4859
404281	3289294
404281	565681
404281	567308
48214	20672
48214	20206
48214	20326
48214	20210
48214	20274
48214	20151
48214	20333
48214	20680
48214	20222
48214	20402
48214	20523
48214	37852
48214	528955
48214	523794
48214	528956
48214	20094
48214	20688
48214	20223
48214	391955
48214	250072
48214	391971
48214	391980
48214	392129
48214	392131
48214	392136
48214	392152
48214	392161
48214	392164
48214	392166
48214	392169
48214	388013
48214	388183
48214	388184
48214	392185
48214	392194
48214	392200
48214	392205
48214	392207
48214	392217
48214	392221
48214	392224
48214	392240
48214	263716
48214	263698
48214	263688
48214	208928
48214	263678
48214	263665
48214	187684
48214	187153
26	529177
26	529579
26	529271
26	392191
26	392194
26	392200
26	392240
26	107822
26	107892
26	63722
26	63483
26	530848
26	3349410
26	20507
26	33804
26	3142
26	94191
26	34172
26	35377
26	783605
